Car_ID,Manufacturer,Car_Model,Driver,Battery_Capacity_kWh,Battery_Percentage,Battery_Health,Expected_Distance_KM,Max_Speed_KMH,Instantaneous_Speed_KMH,Revenue,Age_Days,KM_Travelled,Energy_Consumption_Rate,Year_Manufactured,Maintenance_Cost,Charging,Running,Charging_Cost,Garage,Garage_Status,Timestamp
EV0033,Tesla,Model 3,Driver_033,60.0,56.65,87.81,248.72,225,177,275.42,1649,161781,0.14,2021,5677.93,0,1,0.0,Garage A,Working,2025-01-02 07:22:00
EV0025,Tesla,Model 3,Driver_025,60.0,6.18,83.06,25.67,225,0,0.0,1938,233018,0.14,2019,7959.54,1,0,340.79,Garage A,Charging,2025-01-02 07:27:00
EV0001,Tesla,Model 3,Driver_001,60.0,60.76,88.8,269.77,225,96,711.73,1933,111054,0.14,2022,4298.12,0,1,0.0,Garage A,Parked,2025-01-02 08:38:00
EV0048,Hyundai,Kona EV,Driver_048,39.2,37.29,84.06,141.68,167,0,0.0,2467,132302,0.16,2019,5202.56,1,0,288.68,Garage D,Charging,2025-01-02 09:01:00
EV0036,Hyundai,Kona EV,Driver_036,39.2,95.57,85.72,370.29,167,95,0.0,1872,172873,0.16,2022,6122.19,0,1,0.0,Garage D,Working,2025-01-02 09:13:00
EV0050,Tata,Nexon EV,Driver_050,40.5,85.57,94.92,377.69,120,96,743.76,498,54727,0.18,2023,1890.81,0,1,0.0,Garage B,Parked,2025-01-02 11:51:00
EV0018,Tata,Nexon EV,Driver_018,40.5,28.89,92.27,123.95,120,33,147.3,1157,100795,0.18,2021,3602.35,0,1,0.0,Garage B,Working,2025-01-02 12:07:00
EV0017,Tesla,Model 3,Driver_017,60.0,82.37,89.45,368.4,225,87,173.5,2197,72752,0.14,2019,3281.06,0,1,0.0,Garage A,Working,2025-01-02 12:29:00
EV0031,MG,ZS EV,Driver_031,50.3,23.76,93.45,102.36,175,101,0.0,907,107551,0.17,2025,3680.03,0,1,0.0,Garage C,Working,2025-01-02 13:18:00
EV0010,Tata,Nexon EV,Driver_010,40.5,58.81,86.12,235.51,120,75,899.37,1725,191450,0.18,2021,6606.0,0,1,0.0,Garage B,Working,2025-01-02 14:01:00
EV0006,Tata,Nexon EV,Driver_006,40.5,85.81,93.59,373.44,120,111,188.09,1009,69064,0.18,2020,2576.42,0,1,0.0,Garage B,Working,2025-01-02 14:15:00
EV0040,Hyundai,Kona EV,Driver_040,39.2,40.67,85.88,157.87,167,0,0.0,1948,148323,0.16,2022,5423.69,1,0,201.71,Garage D,Charging,2025-01-02 14:59:00
EV0021,Tesla,Model 3,Driver_021,60.0,93.29,85.91,400.73,225,223,0.0,2285,145889,0.14,2019,5519.17,0,1,0.0,Garage A,Working,2025-01-02 15:26:00
EV0041,Tesla,Model 3,Driver_041,60.0,63.21,91.85,290.29,225,0,0.0,1362,29328,0.14,2023,1560.84,1,0,387.83,Garage A,Charging,2025-01-02 16:17:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,24.29,94.48,103.73,167,91,112.84,1331,33363,0.16,2022,1666.39,0,1,0.0,Garage D,Working,2025-01-02 17:26:00
EV0026,Tata,Nexon EV,Driver_026,40.5,60.13,85.6,239.34,120,81,165.3,2053,166902,0.18,2021,6033.56,0,1,0.0,Garage B,Working,2025-01-02 18:13:00
EV0023,MG,ZS EV,Driver_023,50.3,41.42,93.91,179.32,175,10,0.0,903,27273,0.17,2024,1269.69,0,1,0.0,Garage C,Working,2025-01-02 18:31:00
EV0017,Tesla,Model 3,Driver_017,60.0,75.78,89.45,338.93,225,175,0.0,2197,71411,0.14,2019,3240.83,0,1,0.0,Garage A,Working,2025-01-02 18:52:00
EV0003,MG,ZS EV,Driver_003,50.3,83.57,96.75,372.74,175,0,0.0,449,27987,0.17,2022,1064.11,1,0,182.9,Garage C,Charging,2025-01-02 18:52:00
EV0011,MG,ZS EV,Driver_011,50.3,89.42,87.26,359.71,175,71,0.0,2370,58373,0.17,2021,2936.19,0,1,0.0,Garage C,Working,2025-01-02 19:55:00
EV0010,Tata,Nexon EV,Driver_010,40.5,98.05,86.12,392.65,120,73,169.4,1725,190242,0.18,2021,6569.76,0,1,0.0,Garage B,Working,2025-01-02 21:10:00
EV0030,Tata,Nexon EV,Driver_030,40.5,13.54,97.35,61.29,120,0,0.0,339,25625,0.18,2023,938.25,1,0,60.89,Garage B,Charging,2025-01-02 21:52:00
EV0041,Tesla,Model 3,Driver_041,60.0,82.58,91.85,379.25,225,0,0.0,1362,31862,0.14,2023,1636.86,1,0,290.35,Garage A,Charging,2025-01-02 21:56:00
EV0021,Tesla,Model 3,Driver_021,60.0,81.91,85.91,351.84,225,115,0.0,2285,143793,0.14,2019,5456.29,0,1,0.0,Garage A,Working,2025-01-03 01:22:00
EV0039,MG,ZS EV,Driver_039,50.3,43.42,86.13,172.4,175,90,872.05,2394,125761,0.17,2022,4969.83,0,1,0.0,Garage C,Working,2025-01-03 02:04:00
EV0008,Hyundai,Kona EV,Driver_008,39.2,96.81,97.41,426.25,167,98,310.74,441,22876,0.16,2021,906.78,0,1,0.0,Garage D,Parked,2025-01-03 04:56:00
EV0025,Tesla,Model 3,Driver_025,60.0,68.09,83.06,282.78,225,36,320.56,1938,232049,0.14,2019,7930.47,0,1,0.0,Garage A,Parked,2025-01-03 08:09:00
EV0023,MG,ZS EV,Driver_023,50.3,59.3,93.91,256.72,175,48,642.66,903,28345,0.17,2024,1301.85,0,1,0.0,Garage C,Parked,2025-01-03 08:43:00
EV0038,Tata,Nexon EV,Driver_038,40.5,9.62,96.7,43.26,120,0,0.0,407,15559,0.18,2022,670.27,1,0,101.51,Garage B,Charging,2025-01-03 10:12:00
EV0037,Tesla,Model 3,Driver_037,60.0,76.24,80.94,308.54,225,99,266.29,2151,241040,0.14,2019,8306.7,0,1,0.0,Garage A,Working,2025-01-03 13:02:00
EV0024,Hyundai,Kona EV,Driver_024,39.2,41.16,88.89,165.37,167,104,882.8,1991,87960,0.16,2024,3634.3,0,1,0.0,Garage D,Working,2025-01-03 13:53:00
EV0042,Tata,Nexon EV,Driver_042,40.5,21.18,99.76,98.25,120,71,482.48,130,8789,0.18,2023,328.67,0,1,0.0,Garage B,Parked,2025-01-03 14:58:00
EV0013,Tesla,Model 3,Driver_013,60.0,63.46,92.84,294.58,225,18,939.54,1069,58394,0.14,2025,2286.32,0,1,0.0,Garage A,Working,2025-01-03 15:25:00
EV0033,Tesla,Model 3,Driver_033,60.0,44.9,87.81,197.13,225,145,0.0,1649,165485,0.14,2021,5789.05,0,1,0.0,Garage A,Parked,2025-01-03 16:52:00
EV0017,Tesla,Model 3,Driver_017,60.0,49.95,89.45,223.4,225,109,797.86,2197,73331,0.14,2019,3298.43,0,1,0.0,Garage A,Working,2025-01-03 18:57:00
EV0027,MG,ZS EV,Driver_027,50.3,31.08,88.48,126.77,175,0,0.0,1743,97802,0.17,2020,3805.56,1,0,147.59,Garage C,Charging,2025-01-03 18:59:00
EV0030,Tata,Nexon EV,Driver_030,40.5,52.11,97.35,235.89,120,14,0.0,339,22047,0.18,2023,830.91,0,1,0.0,Garage B,Parked,2025-01-03 21:34:00
EV0022,Tata,Nexon EV,Driver_022,40.5,28.99,87.13,117.45,120,69,0.0,1472,173412,0.18,2024,5938.36,0,1,0.0,Garage B,Working,2025-01-03 21:47:00
EV0005,Tesla,Model 3,Driver_005,60.0,41.71,96.51,201.27,225,90,0.0,448,13858,0.14,2022,639.74,0,1,0.0,Garage A,Working,2025-01-04 00:42:00
EV0010,Tata,Nexon EV,Driver_010,40.5,68.27,86.12,273.39,120,65,903.86,1725,194307,0.18,2021,6691.71,0,1,0.0,Garage B,Working,2025-01-04 01:07:00
EV0038,Tata,Nexon EV,Driver_038,40.5,28.28,96.7,127.16,120,35,0.0,407,12218,0.18,2022,570.04,0,1,0.0,Garage B,Working,2025-01-04 01:07:00
EV0023,MG,ZS EV,Driver_023,50.3,58.77,93.91,254.43,175,32,467.12,903,27114,0.17,2024,1264.92,0,1,0.0,Garage C,Working,2025-01-04 01:11:00
EV0039,MG,ZS EV,Driver_039,50.3,73.36,86.13,291.28,175,29,0.0,2394,124506,0.17,2022,4932.18,0,1,0.0,Garage C,Working,2025-01-04 01:38:00
EV0001,Tesla,Model 3,Driver_001,60.0,53.66,88.8,238.25,225,48,590.73,1933,111578,0.14,2022,4313.84,0,1,0.0,Garage A,Working,2025-01-04 02:10:00
EV0046,Tata,Nexon EV,Driver_046,40.5,23.23,89.18,96.33,120,0,0.0,1949,44749,0.18,2022,2316.97,1,0,114.51,Garage B,Charging,2025-01-04 02:26:00
EV0037,Tesla,Model 3,Driver_037,60.0,51.57,80.94,208.7,225,0,0.0,2151,242481,0.14,2019,8349.93,1,0,295.57,Garage A,Charging,2025-01-04 02:31:00
EV0032,Hyundai,Kona EV,Driver_032,39.2,67.64,92.04,281.4,167,29,908.53,1016,83298,0.16,2024,3006.94,0,1,0.0,Garage D,Parked,2025-01-04 03:08:00
EV0019,MG,ZS EV,Driver_019,50.3,34.94,81.98,132.05,175,0,0.0,2221,202088,0.17,2023,7173.14,1,0,228.76,Garage C,Charging,2025-01-04 03:32:00
EV0026,Tata,Nexon EV,Driver_026,40.5,77.34,85.6,307.84,120,19,0.0,2053,169177,0.18,2021,6101.81,0,1,0.0,Garage B,Working,2025-01-04 04:00:00
EV0005,Tesla,Model 3,Driver_005,60.0,25.93,96.51,125.13,225,98,551.28,448,12968,0.14,2022,613.04,0,1,0.0,Garage A,Working,2025-01-04 05:05:00
EV0005,Tesla,Model 3,Driver_005,60.0,96.96,96.51,467.88,225,91,687.14,448,16099,0.14,2022,706.97,0,1,0.0,Garage A,Working,2025-01-04 05:52:00
EV0013,Tesla,Model 3,Driver_013,60.0,53.65,92.84,249.04,225,41,408.15,1069,59334,0.14,2025,2314.52,0,1,0.0,Garage A,Working,2025-01-04 05:59:00
EV0002,Tata,Nexon EV,Driver_002,40.5,63.35,92.18,271.54,120,100,741.76,1261,84922,0.18,2021,3178.16,0,1,0.0,Garage B,Working,2025-01-04 07:37:00
EV0005,Tesla,Model 3,Driver_005,60.0,52.99,96.51,255.7,225,57,0.0,448,14970,0.14,2022,673.1,0,1,0.0,Garage A,Working,2025-01-04 07:59:00
EV0039,MG,ZS EV,Driver_039,50.3,33.04,86.13,131.19,175,53,146.26,2394,125480,0.17,2022,4961.4,0,1,0.0,Garage C,Working,2025-01-04 09:36:00
EV0016,Hyundai,Kona EV,Driver_016,39.2,53.55,87.25,211.19,167,0,0.0,1821,118448,0.16,2020,4463.94,1,0,336.86,Garage D,Charging,2025-01-04 10:13:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,29.1,94.48,124.27,167,15,907.54,1331,33595,0.16,2022,1673.35,0,1,0.0,Garage D,Parked,2025-01-04 13:37:00
EV0012,Hyundai,Kona EV,Driver_012,39.2,65.42,89.95,265.98,167,0,0.0,1937,45564,0.16,2025,2335.42,1,0,182.13,Garage D,Charging,2025-01-04 14:22:00
EV0005,Tesla,Model 3,Driver_005,60.0,52.38,96.51,252.76,225,0,0.0,448,14276,0.14,2022,652.28,1,0,96.4,Garage A,Charging,2025-01-04 14:48:00
EV0035,MG,ZS EV,Driver_035,50.3,81.3,88.18,330.49,175,81,859.13,2392,87067,0.17,2023,3808.01,0,1,0.0,Garage C,Working,2025-01-04 16:10:00
EV0045,Tesla,Model 3,Driver_045,60.0,37.2,92.52,172.09,225,135,612.19,981,106164,0.14,2025,3675.42,0,1,0.0,Garage A,Working,2025-01-04 16:17:00
EV0009,Tesla,Model 3,Driver_009,60.0,51.31,87.48,224.43,225,111,0.0,1300,155215,0.14,2025,5306.45,0,1,0.0,Garage A,Working,2025-01-04 16:25:00
EV0020,Hyundai,Kona EV,Driver_020,39.2,59.71,92.29,249.08,167,0,0.0,923,82785,0.16,2024,2945.05,1,0,312.02,Garage D,Charging,2025-01-04 19:16:00
EV0016,Hyundai,Kona EV,Driver_016,39.2,81.81,87.25,322.63,167,41,972.9,1821,118605,0.16,2020,4468.65,0,1,0.0,Garage D,Parked,2025-01-04 21:40:00
EV0009,Tesla,Model 3,Driver_009,60.0,50.18,87.48,219.49,225,0,0.0,1300,155871,0.14,2025,5326.13,1,0,442.27,Garage A,Charging,2025-01-04 22:29:00
EV0031,MG,ZS EV,Driver_031,50.3,32.79,93.45,141.26,175,39,676.25,907,108513,0.17,2025,3708.89,0,1,0.0,Garage C,Working,2025-01-04 22:48:00
EV0026,Tata,Nexon EV,Driver_026,40.5,43.87,85.6,174.62,120,75,0.0,2053,167207,0.18,2021,6042.71,0,1,0.0,Garage B,Working,2025-01-04 23:24:00
EV0028,Hyundai,Kona EV,Driver_028,39.2,77.96,85.52,301.35,167,23,817.03,1919,131412,0.16,2022,4901.86,0,1,0.0,Garage D,Working,2025-01-05 01:33:00
EV0017,Tesla,Model 3,Driver_017,60.0,8.32,89.45,37.21,225,0,0.0,2197,71931,0.14,2019,3256.43,1,0,380.27,Garage A,Charging,2025-01-05 01:47:00
EV0015,MG,ZS EV,Driver_015,50.3,17.74,94.81,77.54,175,0,0.0,815,37247,0.17,2020,1524.91,1,0,496.06,Garage C,Charging,2025-01-05 02:55:00
EV0047,MG,ZS EV,Driver_047,50.3,78.58,95.72,346.75,175,0,0.0,880,24023,0.17,2019,1160.69,1,0,338.11,Garage C,Charging,2025-01-05 03:02:00
EV0020,Hyundai,Kona EV,Driver_020,39.2,37.27,92.29,155.47,167,66,242.55,923,79303,0.16,2024,2840.59,0,1,0.0,Garage D,Working,2025-01-05 03:10:00
EV0049,Tesla,Model 3,Driver_049,60.0,22.93,92.35,105.88,225,0,0.0,1292,30413,0.14,2023,1558.39,1,0,324.78,Garage A,Charging,2025-01-05 03:58:00
EV0027,MG,ZS EV,Driver_027,50.3,69.08,88.48,281.77,175,111,0.0,1743,95297,0.17,2020,3730.41,0,1,0.0,Garage C,Working,2025-01-05 04:04:00
EV0004,Hyundai,Kona EV,Driver_004,39.2,46.21,88.34,184.52,167,142,0.0,1626,137401,0.16,2024,4935.03,0,1,0.0,Garage D,Working,2025-01-05 04:31:00
EV0024,Hyundai,Kona EV,Driver_024,39.2,37.83,88.89,151.99,167,71,341.56,1991,88628,0.16,2024,3654.34,0,1,0.0,Garage D,Working,2025-01-05 04:54:00
EV0006,Tata,Nexon EV,Driver_006,40.5,18.32,93.59,79.73,120,0,0.0,1009,68320,0.18,2020,2554.1,1,0,469.97,Garage B,Charging,2025-01-05 06:25:00
EV0023,MG,ZS EV,Driver_023,50.3,20.34,93.91,88.06,175,0,0.0,903,27500,0.17,2024,1276.5,1,0,169.39,Garage C,Charging,2025-01-05 06:41:00
EV0004,Hyundai,Kona EV,Driver_004,39.2,31.69,88.34,126.54,167,152,919.73,1626,136907,0.16,2024,4920.21,0,1,0.0,Garage D,Working,2025-01-05 09:24:00
EV0049,Tesla,Model 3,Driver_049,60.0,89.17,92.35,411.74,225,44,204.95,1292,27728,0.14,2023,1477.84,0,1,0.0,Garage A,Working,2025-01-05 10:06:00
EV0023,MG,ZS EV,Driver_023,50.3,43.07,93.91,186.46,175,82,831.97,903,30550,0.17,2024,1368.0,0,1,0.0,Garage C,Working,2025-01-05 10:32:00
EV0043,MG,ZS EV,Driver_043,50.3,35.05,96.32,155.63,175,82,676.37,630,60827,0.17,2022,2139.81,0,1,0.0,Garage C,Parked,2025-01-05 11:56:00
EV0039,MG,ZS EV,Driver_039,50.3,83.46,86.13,331.39,175,0,0.0,2394,126049,0.17,2022,4978.47,1,0,57.19,Garage C,Charging,2025-01-05 12:19:00
EV0003,MG,ZS EV,Driver_003,50.3,9.06,96.75,40.41,175,0,0.0,449,31640,0.17,2022,1173.7,1,0,306.8,Garage C,Charging,2025-01-05 13:38:00
EV0031,MG,ZS EV,Driver_031,50.3,64.48,93.45,277.78,175,44,191.77,907,110112,0.17,2025,3756.86,0,1,0.0,Garage C,Working,2025-01-05 14:52:00
EV0048,Hyundai,Kona EV,Driver_048,39.2,38.27,84.06,145.41,167,101,0.0,2467,131671,0.16,2019,5183.63,0,1,0.0,Garage D,Working,2025-01-05 15:42:00
EV0016,Hyundai,Kona EV,Driver_016,39.2,99.73,87.25,393.31,167,28,272.88,1821,121057,0.16,2020,4542.21,0,1,0.0,Garage D,Working,2025-01-05 15:47:00
EV0044,Hyundai,Kona EV,Driver_044,39.2,42.95,94.48,183.42,167,0,0.0,1331,33276,0.16,2022,1663.78,1,0,255.32,Garage D,Charging,2025-01-05 15:50:00
EV0011,MG,ZS EV,Driver_011,50.3,27.13,87.26,109.14,175,35,0.0,2370,60954,0.17,2021,3013.62,0,1,0.0,Garage C,Parked,2025-01-05 17:16:00
EV0033,Tesla,Model 3,Driver_033,60.0,41.9,87.81,183.96,225,79,0.0,1649,162685,0.14,2021,5705.05,0,1,0.0,Garage A,Working,2025-01-05 17:31:00
EV0017,Tesla,Model 3,Driver_017,60.0,74.26,89.45,332.13,225,112,182.25,2197,73711,0.14,2019,3309.83,0,1,0.0,Garage A,Working,2025-01-05 17:49:00
EV0037,Tesla,Model 3,Driver_037,60.0,72.51,80.94,293.45,225,42,0.0,2151,244179,0.14,2019,8400.87,0,1,0.0,Garage A,Working,2025-01-05 18:11:00
EV0039,MG,ZS EV,Driver_039,50.3,93.03,86.13,369.38,175,60,912.36,2394,125725,0.17,2022,4968.75,0,1,0.0,Garage C,Working,2025-01-05 19:07:00
EV0006,Tata,Nexon EV,Driver_006,40.5,27.56,93.59,119.94,120,0,0.0,1009,70545,0.18,2020,2620.85,1,0,137.33,Garage B,Charging,2025-01-05 20:07:00
EV0034,Tata,Nexon EV,Driver_034,40.5,80.72,95.74,359.36,120,0,0.0,532,37906,0.18,2025,1403.18,1,0,208.29,Garage B,Charging,2025-01-05 20:29:00
EV0029,Tesla,Model 3,Driver_029,60.0,70.75,90.22,319.15,225,137,732.19,1979,75242,0.14,2020,3246.76,0,1,0.0,Garage A,Working,2025-01-05 21:20:00
EV0045,Tesla,Model 3,Driver_045,60.0,94.08,92.52,435.21,225,0,0.0,981,104669,0.14,2025,3630.57,1,0,527.77,Garage A,Charging,2025-01-05 21:27:00
EV0046,Tata,Nexon EV,Driver_046,40.5,83.71,89.18,347.13,120,111,754.6,1949,43603,0.18,2022,2282.59,0,1,0.0,Garage B,Working,2025-01-05 23:35:00
EV0035,MG,ZS EV,Driver_035,50.3,74.0,88.18,300.82,175,0,0.0,2392,86792,0.17,2023,3799.76,1,0,113.93,Garage C,Charging,2025-01-05 23:37:00
EV0029,Tesla,Model 3,Driver_029,60.0,95.69,90.22,431.66,225,0,0.0,1979,73967,0.14,2020,3208.51,1,0,227.46,Garage A,Charging,2025-01-05 23:40:00
EV0032,Hyundai,Kona EV,Driver_032,39.2,57.01,92.04,237.17,167,55,575.2,1016,80507,0.16,2024,2923.21,0,1,0.0,Garage D,Working,2025-01-06 02:17:00
EV0032,Hyundai,Kona EV,Driver_032,39.2,77.44,92.04,322.17,167,87,343.96,1016,82387,0.16,2024,2979.61,0,1,0.0,Garage D,Parked,2025-01-06 02:39:00
EV0002,Tata,Nexon EV,Driver_002,40.5,70.42,92.18,301.85,120,54,331.63,1261,86593,0.18,2021,3228.29,0,1,0.0,Garage B,Parked,2025-01-06 02:46:00
EV0011,MG,ZS EV,Driver_011,50.3,51.54,87.26,207.33,175,0,0.0,2370,61265,0.17,2021,3022.95,1,0,120.56,Garage C,Charging,2025-01-06 04:12:00
EV0027,MG,ZS EV,Driver_027,50.3,76.05,88.48,310.2,175,126,200.88,1743,95848,0.17,2020,3746.94,0,1,0.0,Garage C,Parked,2025-01-06 04:35:00
EV0015,MG,ZS EV,Driver_015,50.3,34.12,94.81,149.13,175,135,411.63,815,39369,0.17,2020,1588.57,0,1,0.0,Garage C,Working,2025-01-06 05:25:00
EV0028,Hyundai,Kona EV,Driver_028,39.2,87.75,85.52,339.2,167,109,0.0,1919,133339,0.16,2022,4959.67,0,1,0.0,Garage D,Parked,2025-01-06 05:52:00
EV0003,MG,ZS EV,Driver_003,50.3,99.91,96.75,445.62,175,0,0.0,449,31171,0.17,2022,1159.63,1,0,297.38,Garage C,Charging,2025-01-06 05:54:00
EV0042,Tata,Nexon EV,Driver_042,40.5,44.66,99.76,207.17,120,70,322.53,130,8428,0.18,2023,317.84,0,1,0.0,Garage B,Working,2025-01-06 06:11:00
